brand_slug,brand_name,category
1stplayer,1stPlayer,CASE
1stplayer,1stPlayer,PSU
51risc,51Risc,GPU
acbel,AcBel,PSU
adata,ADATA,RAM
adata,ADATA,STORAGE
aerocool,Aerocool,CASE
aerocool,Aerocool,COOLER
afox,Afox,GPU
aigo,Aigo,CASE
aigo,Aigo,COOLER
aigo,Aigo,PSU
aigo,Aigo,RAM
aisurix,AISURIX,GPU
alphacool,Alphacool,WATER_COOLING
alseye,Alseye,COOLER
amd,AMD,CPU
amd,AMD,GPU
antec,Antec,COOLER
antec,Antec,PSU
apacer,Apacer,RAM
apacer,Apacer,STORAGE
arctic,Arctic,COOLER
arktek,Arktek,MOTHERBOARD
asgard,Asgard,RAM
asrock,ASRock,GPU
asrock,ASRock,MOTHERBOARD
asus,ASUS,GPU
asus,ASUS,MOTHERBOARD
asus,ASUS,PSU
axle,Axle,GPU
barrow,Barrow,WATER_COOLING
be-quiet,be quiet!,COOLER
be-quiet,be quiet!,PSU
biostar,Biostar,GPU
biostar,Biostar,MOTHERBOARD
bitspower,Bitspower,WATER_COOLING
bykski,Bykski,WATER_COOLING
colorful,Colorful,GPU
colorful,Colorful,MOTHERBOARD
cooler-master,Cooler Master,CASE
cooler-master,Cooler Master,COOLER
cooler-master,Cooler Master,GPU
cooler-master,Cooler Master,PSU
cooler-master,Cooler Master,WATER_COOLING
corsair,Corsair,CASE
corsair,Corsair,PSU
corsair,Corsair,RAM
corsair,Corsair,STORAGE
corsair,Corsair,WATER_COOLING
cougar,Cougar,CASE
crucial,Crucial,RAM
crucial,Crucial,STORAGE
deepcool,Deepcool,CASE
deepcool,Deepcool,COOLER
deepcool,Deepcool,PSU
ekwb,EKWB,WATER_COOLING
evga,EVGA,GPU
evga,EVGA,MOTHERBOARD
fanxiang,Fanxiang,STORAGE
fractal-design,Fractal Design,CASE
freezemod,Freezemod,WATER_COOLING
fsp,FSP,PSU
g-skill,G.Skill,RAM
gainward,Gainward,GPU
galax,Galax,CASE
galax,Galax,GPU
gamdias,Gamdias,CASE
gamdias,Gamdias,COOLER
gamemax,Gamemax,CASE
gamemax,Gamemax,PSU
geil,GeIL,RAM
gigabyte,GIGABYTE,GPU
gigabyte,GIGABYTE,MOTHERBOARD
gigabyte,GIGABYTE,PSU
gigabyte,GIGABYTE,RAM
gigabyte,GIGABYTE,STORAGE
gloway,Gloway,RAM
golden-field,Golden Field,COOLER
goldenfir,Goldenfir,STORAGE
hiksemi,Hiksemi,RAM
hiksemi,Hiksemi,STORAGE
huananzhi,Huananzhi,MOTHERBOARD
huntkey,Huntkey,PSU
hygon,Hygon,CPU
hyte,Hyte,CASE
id-cooling,ID-Cooling,COOLER
inno3d,Inno3D,GPU
intel,Intel,CPU
intel,Intel,GPU
inwin,InWin,CASE
inwin,InWin,PSU
jetek,Jetek,PSU
jeyi,Jeyi,GPU
jingsha,Jingsha,GPU
jingsha,Jingsha,MOTHERBOARD
jiyue,Jiyue,MOTHERBOARD
jonsbo,Jonsbo,CASE
jonsbo,Jonsbo,COOLER
juhor,Juhor,RAM
kangkai,Kangkai,GPU
kimtigo,Kimtigo,RAM
kingmax,Kingmax,RAM
kingmax,Kingmax,STORAGE
kingspec,Kingspec,STORAGE
kingston,Kingston,RAM
kingston,Kingston,STORAGE
kioxia,Kioxia,STORAGE
klevv,Klevv,RAM
